en	kr
Weighted Kernel and it's Learning Method for Cancer Diagnosis System	암진단시스템을 위한 Weighted Kernel 및 학습방법
In this paper, we compare previous studies in same experimental conditions, and based on the results, we analyze the performance variation caused by the differences in preprocessing filter and network structure.	본 논문에서는 동일한 실험 조건에서 기존 연구들을 비교하고, 그 결과를 기반으로 전처리 필터와 네트워크 구조적인 차이에 의한 성능 변화를 분석한다.
A Study on Applying a Model Using 1D CNN-LSTM to the RUL Prediction of HDD	하드디스크의 잔존 수명 예측에 1D CNN-LSTM 을 이용한 모델 적용 연구
Selecting Sasang-Type classification model using machine learning and designing the service flow	머신러닝을 활용한 사상체질 분류 모델 선정과 서비스 플로우 디자인
Neural Machine translation specialized for Coronavirus Disease-19(COVID-19)	Coronavirus Disease-19(COVID-19)에 특화된 인공신경망 기계번역기
As a result of experimenting with changing the forecasting period, it is better to predict the results with only simple information and the macroeconomic results than with the results from this study.	예측 기간을 바꾸며 실험을 진행한 결과, 이 연구의 결과보다 단순 정보와 거시경제적 결과만으로 결과를 예측하는 것이 더 낫다.
Design and Implementation of Educational Robot for Programming Learning	프로그래밍 학습을 위한 교육용 로봇 설계 및 구현
The recognition of Printed Music Score and Performance Using Computer Vision system	컴퓨터 비젼 시스템에 의한 인쇄악보의 인식과 연주
CNN was set to have 100 learning iterations for each application of finger number recognition, and to have 10 repetitive applications of finger number recognition for the consistency of CNN's learning.	CNN은 손가락 번호 인식의 각 응용 프로그램에 대해 100번의 반복 학습이 가능하도록 설정되었으며, CNN의 학습 일관성을 위해 손가락 번호 인식의 10번의 반복 응용이 가능하도록 설정되었다.
Many studies have achieved good results in various ways.	많은 연구들이 다양한 방법으로 좋은 성과를 거뒀다.
Object Recognition using SIFT and Tree Structure	SIFT와 트리구조를 이용한 내용기반 물체인식
A widely used predictive security algorithm along with the recidivism risk assessment tool predicts when and where a crime will occur using crime data and machine learning.	재범 위험성 평가도구와 함께 널리 쓰이는 것이 예측 치안 알고리즘인데, 범죄 데이터와머신러닝을 사용하여 언제 어디서 범죄가 일어날지를 예측한다.
Analysis of biomedical images based on optical coherence tomography using a novel machine learning method	기계학습을 이용한 광간섭단층촬영 기반의 의료영상 분석
In other words, artificial intelligence can produce “creative” output.	말하자면 인공지능도 ‘창의적’ 결과물을 만들어낼 수 있다는 것이다.
Fire Detection Based on Convolutional Neural Network	컨볼루션 신경망 기반의 화재 감지
Gaze Zone Detection for the Driver using Deep Neural Network	딥신경망 기반 운전자 시선 영역 검출
A Study on the step edge detection method based on image information measure and eutral network	영상의 정보척도와 신경회로망을 이용한 계단에지 검출에 관한 연구
A Survey of Image Segmentation Techniques	영상 분할 방법의 고찰
A Study on Color Image Edge detection Using Adaptive Morphological Wavelet-CNN Algorithm	적응 형태학적 WCNN 알고리즘을 이용한 컬러 영상 에지 검출 연구
Text Classification by Deep Learning Fusion	딥러닝 융합에 의한 텍스트 분류
The Misuse and Reporting Behavior of the Term ‘Internal Reserve Amount’ by Media	언론의 ‘사내유보금’ 용어 오용 및 보도 양태
However, it is difficult to perform detection and classification simultaneously due to the amount of data and hardware constraints.	하지만 데이터의 양과 하드웨어의 제약으로 검출과 분류를 동시에 수행하는데 어려움이 있다.
The Study on the Effective Automatic Classification of Internet Document Using the Machine Learning	기계학습을 기반으로 한 인터넷 학술문서의 효과적 자동분류에 관한 연구
Performance Comparison of Machine Learning Models to Detect Screen Use and Devices	스크린 사용 여부 및 사용 디바이스 감지를 위한 머신러닝 모델 성능 비교
Fault Detection for Seismic Data Interpretation Based on Machine Learning: Research Trends and Technological Introduction	기계 학습 기반 탄성파 자료 단층 해석: 연구동향 및 기술
A Design of TSK-Based ELM for Short Term Electricity Load Forecasting	단기 전기부하 예측을 위한 TSK기반 ELM의 설계
Real Time Vision-Based Measurement of 2D Displacement	비전 기반 실시간 2 차원 변위 측정
As a result of experimenting with the DCGAN and Style GAN algorithms among the GAN algorithms, it was confirmed that the DCGAN algorithm generates a top image with a low resolution.	GAN 알고리즘 중 DCGAN과 Style GAN 알고리즘을 실험한 결과 DCGAN 알고리즘이 낮은 해상도로 탑 이미지가 생성되는 것을 확인했다.
A Study on a Wearable Smart Airbag Using Machine Learning Algorithm	머신러닝 알고리즘을 사용한 웨어러블 스마트 에어백에 관한 연구
A new classification model of weighted SVM based on effectiveness	특징 벡터의 effectiveness 요소 기반의 가중치 SVM 분류기 연구
Recent developments in deep learning technology have been actively applied to automatic product classification.	최근의 딥러닝 기술 발전은 자동 상품 분류에도 활발하게 적용이 되고 있다.
Korean Natural Language Generation Using LSTM-based Language Model forTask-Oriented Spoken Dialogue System	목적지향 대화시스템에서 LSTM 언어모델 기반의 한국어 자연어 생성
Design and Implementation of Reinforcement Learning Environment Using Unity 3D-based ML-Agents Toolkit	Unity 3D 기반 ML-Agents Toolkit을 이용한 강화 학습 환경 설계 및 구현
Object Detection System using YOLO-based Feature Filter Banks	YOLO 기반 특징 필터 뱅크를 적용한 객체 검출 시스템
Finally, forecast model is verified through performance analysis using a test set for each charging station type, and the limitations of our model are discussed.	마지막으로 충전소 유형별 테스트 집합을 이용한 성능 분석을 통해 예측 모델을 검증하고 이의 한계점을 논의한다.
As a result of empirical analysis, it was confirmed that the artificial neural network model with high predictive power differs depending on the region.	실증 분석결과, 지역에 따라 높은 예측력을 보이는 인공신경망 모형이 다르다는 것을 확인하였다.
Based on these implications, the expected effects of using an open source made knitter are presented and the design direction and significance of the STEAM training to be designed in the future are reviewed.	이러한 시사점을 토대로 오픈소스를 통하여 제작한 니팅기를 활용하였을 때의 기대효과를 제시하고, 향후에 설계될 STEAM 교육에 대한 설계 방향 및 의의를 검토하고자 한다.
The comparison result shows that predictions of RNN model are more accurate than that of GEE model.	비교분석결과 RNN의 예측이 GEE 모델의 예측보다 정확도가 높은 것으로 나타났다.
A Study On Computer Vision System Using a Dynamic Edge Tracking Method	Dynamic Edge Tracking을 이용한 Computer Vision System에 관한 연구
The recent ERP and CRM is mostly focused on the conventional function performances.	현재 ERP와 CRM은 대부분 전통적인 기능적 수행에만 초점이 맞추어져 있다.
However, because the data representing fine dust contamination changes rapidly, traditional time series prediction methods do not provide a level of accuracy that can be used in the field.	하지만 미세먼지 오염도를 나타내는 데이터가 급격히 변하는 특성(Extreme)을 가지고 있어 기존의 시계열 예측방법으로는 현장에서 사용할 수 있는 수준의 정확도를 내지 못하고 있다.
